Index,SeriesName,SeriesCode,CountryName,CountryCode,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019
0,GDP per capita (current US$),NY.GDP.PCAP.CD,Afghanistan,AFG,0.591162759,0.641871479,0.637165523,0.613856689,0.578466353,0.509218661,0.519884773,0.493750418,0.507103432
1,GDP per capita (current US$),NY.GDP.PCAP.CD,Albania,ALB,4.437142885,4.247629984,4.413060861,4.578631994,3.952801215,4.124055726,4.531020806,5.284380184,5.353244856
2,GDP per capita (current US$),NY.GDP.PCAP.CD,Algeria,DZA,5.462260897,5.591212353,5.498784095,5.494352336,4.187509727,3.945482081,4.11129411,4.153733978,3.973964072
3,GDP per capita (current US$),NY.GDP.PCAP.CD,Andorra,AND,43.33532886,38.68646126,39.53876672,41.30392937,35.76252307,37.47466541,38.96288035,41.79305526,40.88639116
4,GDP per capita (current US$),NY.GDP.PCAP.CD,Angola,AGO,4.615468028,5.100095808,5.254882338,5.408410496,4.166979684,3.506072885,4.095812942,3.289646664,2.790726615
5,GDP per capita (current US$),NY.GDP.PCAP.CD,Antigua and Barbuda,ATG,12.74620502,13.27244133,12.90974418,13.50158092,14.28609316,15.19761746,15.38341519,16.67274424,17.11282113
6,GDP per capita (current US$),NY.GDP.PCAP.CD,Argentina,ARG,12.8488642,13.08266433,13.08025473,12.33479825,13.78906042,12.79024247,14.61304182,11.63349801,9.912281809
7,GDP per capita (current US$),NY.GDP.PCAP.CD,Armenia,ARM,3.525804747,3.681857456,3.838185801,3.986231624,3.607296697,3.591829276,3.914501268,4.220490277,4.622733493
8,GDP per capita (current US$),NY.GDP.PCAP.CD,Australia,AUS,62.51783375,68.0121479,68.15010704,62.51079117,56.75572171,49.97113146,54.02796682,57.35496405,55.0603261
9,GDP per capita (current US$),NY.GDP.PCAP.CD,Austria,AUT,51.37495841,48.56769529,50.71670871,51.71749594,44.17804738,45.27683144,47.42651196,51.47828526,50.13766278
10,GDP per capita (current US$),NY.GDP.PCAP.CD,Azerbaijan,AZE,7.189691229,7.496294648,7.875756953,7.891313147,5.500310382,3.880738731,4.147089716,4.73984171,4.79358702
11,GDP per capita (current US$),NY.GDP.PCAP.CD,"Bahamas, The",BHS,28.00637972,29.48562093,28.78355412,29.98006114,31.29506208,31.56263974,32.7186381,33.76750337,34.8637421
12,GDP per capita (current US$),NY.GDP.PCAP.CD,Bahrain,BHR,22.51423795,23.65435139,24.74429696,24.98940012,22.63411865,22.60848428,23.74298502,23.99105668,23.50397713
13,GDP per capita (current US$),NY.GDP.PCAP.CD,Bangladesh,BGD,0.861758444,0.883105001,0.981839879,1.118853663,1.248453398,1.401620628,1.563913699,1.698350394,1.855739824
14,GDP per capita (current US$),NY.GDP.PCAP.CD,Barbados,BRB,16.45835321,16.24955939,16.45116358,16.48907224,16.52507325,16.90016655,17.39142587,17.74519346,18.14824493
15,GDP per capita (current US$),NY.GDP.PCAP.CD,Belarus,BLR,6.519230195,6.940159254,7.978872615,8.31851269,5.949106307,5.022626643,5.76174712,6.330075246,6.663295293
16,GDP per capita (current US$),NY.GDP.PCAP.CD,Belgium,BEL,47.34852502,44.67311588,46.74466254,47.70054036,40.99180814,41.98410303,44.19262303,47.58307494,46.42066377
17,GDP per capita (current US$),NY.GDP.PCAP.CD,Belize,BLZ,4.423489797,4.505621302,4.568502958,4.70560269,4.775955648,4.818403909,4.887577208,4.884734162,4.815163711
18,GDP per capita (current US$),NY.GDP.PCAP.CD,Benin,BEN,1.130273132,1.145140811,1.251210518,1.291409808,1.076797716,1.087287832,1.136592847,1.240829464,1.219432672
19,GDP per capita (current US$),NY.GDP.PCAP.CD,Bermuda,BMU,97.77416207,98.43186518,99.4716389,98.46768399,102.0056256,106.8858785,111.8205815,113.0214174,117.0892863
20,GDP per capita (current US$),NY.GDP.PCAP.CD,Bhutan,BTN,2.563257527,2.5389459,2.472714309,2.652214589,2.752664208,2.930562989,3.286574703,3.243486036,3.316175714
21,GDP per capita (current US$),NY.GDP.PCAP.CD,Bolivia,BOL,2.346337155,2.609880814,2.908200095,3.081878823,3.035972214,3.07665895,3.351124044,3.548590155,3.55206876
22,GDP per capita (current US$),NY.GDP.PCAP.CD,Bosnia and Herzegovina,BIH,5.092551943,4.778636088,5.131394506,5.329635045,4.727277712,4.99468314,5.39459122,6.072184623,6.108510696
23,GDP per capita (current US$),NY.GDP.PCAP.CD,Botswana,BWA,7.61732516,7.050573472,7.224965281,7.780653384,6.799870178,7.243870253,7.893232534,8.279601739,7.961325181
24,GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,13.2456125,12.3700242,12.30032488,12.11258821,8.814000987,8.71009669,9.925386238,9.001234249,8.717186278
25,GDP per capita (current US$),NY.GDP.PCAP.CD,Brunei Darussalam,BRN,47.05584112,47.7405149,44.74008502,41.72678397,31.16456203,27.15782341,28.57214678,31.62832879,31.08675112
26,GDP per capita (current US$),NY.GDP.PCAP.CD,Bulgaria,BGR,7.809425062,7.395849803,7.655129708,7.876866465,7.055935673,7.548855007,8.334081728,9.42773043,9.828148515
27,GDP per capita (current US$),NY.GDP.PCAP.CD,Burkina Faso,BFA,0.751172957,0.758000701,0.787470176,0.792846778,0.65332698,0.688249663,0.73499443,0.813096849,0.786895631
28,GDP per capita (current US$),NY.GDP.PCAP.CD,Burundi,BDI,0.249577979,0.25235898,0.256976003,0.274857948,0.305549773,0.28219313,0.292997631,0.271752044,0.261247473
29,GDP per capita (current US$),NY.GDP.PCAP.CD,Cabo Verde,CPV,3.740389099,3.447524041,3.615979041,3.588674054,3.043013984,3.130963386,3.292645755,3.617327489,3.603781793
30,GDP per capita (current US$),NY.GDP.PCAP.CD,Cambodia,KHM,0.882275493,0.950880346,1.013420401,1.093496191,1.16290492,1.269591257,1.38525998,1.51212671,1.643121389
31,GDP per capita (current US$),NY.GDP.PCAP.CD,Cameroon,CMR,1.405094392,1.354545613,1.465638843,1.542620266,1.327503017,1.36433011,1.425107818,1.534493702,1.507450206
32,GDP per capita (current US$),NY.GDP.PCAP.CD,Canada,CAN,52.08744638,52.67839012,52.65259368,50.89344671,43.58551198,42.32248478,45.14855271,46.31317137,46.19472523
33,GDP per capita (current US$),NY.GDP.PCAP.CD,Central African Republic,CAF,0.551750097,0.565800697,0.380298168,0.424448751,0.377423002,0.402191291,0.450900245,0.47595361,0.467907441
34,GDP per capita (current US$),NY.GDP.PCAP.CD,Chad,TCD,0.984735892,0.967352798,0.97981241,1.020288204,0.776019532,0.693449387,0.665948353,0.726149881,0.70954031
35,GDP per capita (current US$),NY.GDP.PCAP.CD,Chile,CHL,14.63724024,15.35155133,15.84294081,14.67099676,13.57417183,13.75359444,14.99937009,15.92479424,14.89645387
36,GDP per capita (current US$),NY.GDP.PCAP.CD,China,CHN,5.618132267,6.316918318,7.050646271,7.678599486,8.066942635,8.147937705,8.879438667,9.976677137,10.26167925
37,GDP per capita (current US$),NY.GDP.PCAP.CD,Colombia,COL,7.335166934,8.050255372,8.218347844,8.114343921,6.17587603,5.870777957,6.376706716,6.716911598,6.428676206
38,GDP per capita (current US$),NY.GDP.PCAP.CD,Comoros,COM,1.447963587,1.40334862,1.505349473,1.513830379,1.24260319,1.273058953,1.32381159,1.415955313,1.370148207
39,GDP per capita (current US$),NY.GDP.PCAP.CD,"Congo, Dem. Rep.",COD,0.387082465,0.424600386,0.457963728,0.486787082,0.497316961,0.47131884,0.467074238,0.557064418,0.580716867
